Query,Label
Raccontami una barzelletta.,unsupported
Tell me something interesting.,unsupported
Sai cucinare?,unsupported
Tell me something interesting.,unsupported
Can you tell me the price of the vintage layout?,follow_up_cost
Can you do math?,unsupported
Is the showroom in Cogorno open today?,showroom
Mi racconti una storia divertente?,unsupported
Dove si trova il vostro showroom a Cogorno?,showroom
I'd like a Scandinavian garden design.,search
Can you tell me the price of the modern layout?,follow_up_cost
Hai dei disegni per una bedroom?,search
Where is your store in Sestri Levante?,showroom
Qual è il tuo sport preferito?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
How much does the library design cost?,follow_up_cost
Hai dei disegni per una garden?,search
Do aliens exist?,unsupported
Mostrami un progetto per una bathroom.,search
Where is your store in Milano?,showroom
Where is your store in Milano?,showroom
È costoso quel disegno con island?,follow_up_cost
Mostrami un progetto per una garden.,search
Dove si trova il vostro showroom a Milano?,showroom
Che tempo fa a Roma?,unsupported
What's your favorite pizza topping?,unsupported
Mostrami un progetto per una kitchen.,search
What's your favorite animal?,unsupported
Posso visitare lo showroom il mercoledì?,showroom
What's your favorite pizza topping?,unsupported
Can you do math?,unsupported
I'd like a minimalist bathroom design.,search
How much does the library design cost?,follow_up_cost
Quanto costa il progetto per la kitchen?,follow_up_cost
Is the showroom in Cogorno open today?,showroom
Cerco un disegno per una bedroom in stile Scandinavian.,search
Where is your store in Sestri Levante?,showroom
Dove si trova il vostro showroom a Sestri Levante?,showroom
I'd like a Scandinavian kitchen design.,search
Do aliens exist?,unsupported
Can you tell me the price of the modern layout?,follow_up_cost
Where is your store in Sestri Levante?,showroom
Tell me something interesting.,unsupported
Is the showroom in Cogorno open today?,showroom
Raccontami una barzelletta.,unsupported
Hai dei disegni per una garden?,search
È costoso quel disegno con mirror?,follow_up_cost
Can you show me a library layout?,search
Dove si trova il vostro showroom a Roma?,showroom
Can you tell me the price of the minimalist layout?,follow_up_cost
Quanto costa il progetto per la living room?,follow_up_cost
Raccontami una barzelletta.,unsupported
Can you show me a living room layout?,search
Sai cucinare?,unsupported
Quali sono gli orari di apertura a Sestri Levante?,showroom
Dove si trova il vostro showroom a Cogorno?,showroom
I'd like a Scandinavian bathroom design.,search
Cerco un disegno per una bathroom in stile modern.,search
È costoso quel disegno con tiles?,follow_up_cost
Mostrami un progetto per una living room.,search
Can you show me a garden layout?,search
Can you do math?,unsupported
Raccontami una barzelletta.,unsupported
Hai dei disegni per una living room?,search
What's your favorite pizza topping?,unsupported
Dove si trova il vostro showroom a Cogorno?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Is the showroom in Cogorno open today?,showroom
Can you show me a kitchen layout?,search
I'd like a Scandinavian garden design.,search
How much does the kitchen design cost?,follow_up_cost
Che tempo fa a Roma?,unsupported
Can you show me a bedroom layout?,search
Tell me something interesting.,unsupported
Quali sono gli orari di apertura a Sestri Levante?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Dove si trova il vostro showroom a Cogorno?,showroom
Quanto costa il progetto per la bathroom?,follow_up_cost
Posso visitare lo showroom il lunedì?,showroom
Quali sono gli orari di apertura a Milano?,showroom
Mostrami un progetto per una library.,search
How much does the kitchen design cost?,follow_up_cost
Is the showroom in Roma open today?,showroom
Che tempo fa a Roma?,unsupported
Dove si trova il vostro showroom a Roma?,showroom
What's your favorite animal?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Cerco un disegno per una bedroom in stile minimalist.,search
Can you tell me the price of the vintage layout?,follow_up_cost
Dove si trova il vostro showroom a Napoli?,showroom
Mi racconti una storia divertente?,unsupported
Che tempo fa a Roma?,unsupported
Cerco un disegno per una bedroom in stile vintage.,search
Can you tell me the price of the rustic layout?,follow_up_cost
Is the showroom in Roma open today?,showroom
È costoso quel disegno con island?,follow_up_cost
Quanto costa il progetto per la bathroom?,follow_up_cost
Do aliens exist?,unsupported
Quali sono gli orari di apertura a Milano?,showroom
Tell me something interesting.,unsupported
Do aliens exist?,unsupported
Can you tell me the price of the minimalist layout?,follow_up_cost
Cerco un disegno per una living room in stile modern.,search
Mostrami un progetto per una bathroom.,search
Mostrami un progetto per una library.,search
Mostrami un progetto per una garden.,search
Hai dei disegni per una living room?,search
Quali sono gli orari di apertura a Milano?,showroom
Quali sono gli orari di apertura a Roma?,showroom
Mostrami un progetto per una garden.,search
Where is your store in Napoli?,showroom
Posso visitare lo showroom il venerdì?,showroom
È costoso quel disegno con tiles?,follow_up_cost
Is the showroom in Cogorno open today?,showroom
Can you tell me the price of the minimalist layout?,follow_up_cost
What's your favorite animal?,unsupported
Qual è il tuo sport preferito?,unsupported
Where is your store in Roma?,showroom
Where is your store in Sestri Levante?,showroom
È costoso quel disegno con tiles?,follow_up_cost
Where is your store in Milano?,showroom
Che tempo fa a Roma?,unsupported
Can you show me a garden layout?,search
Mostrami un progetto per una garden.,search
Can you show me a living room layout?,search
Posso visitare lo showroom il mercoledì?,showroom
Mostrami un progetto per una garden.,search
Cerco un disegno per una bathroom in stile classic.,search
Mi racconti una storia divertente?,unsupported
Is the showroom in Milano open today?,showroom
Where is your store in Roma?,showroom
Can you tell me the price of the modern layout?,follow_up_cost
Qual è il tuo sport preferito?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
How much does the kitchen design cost?,follow_up_cost
I'd like a rustic bedroom design.,search
I'd like a Scandinavian library design.,search
Quali sono gli orari di apertura a Roma?,showroom
Quanto costa il progetto per la kitchen?,follow_up_cost
I'd like a rustic bathroom design.,search
Quanto costa il progetto per la living room?,follow_up_cost
Dove si trova il vostro showroom a Milano?,showroom
Where is your store in Milano?,showroom
Tell me something interesting.,unsupported
Where is your store in Sestri Levante?,showroom
Hai dei disegni per una bathroom?,search
Posso visitare lo showroom il lunedì?,showroom
Mi racconti una storia divertente?,unsupported
Tell me something interesting.,unsupported
Cerco un disegno per una bathroom in stile vintage.,search
I'd like a classic bathroom design.,search
Dove si trova il vostro showroom a Cogorno?,showroom
Where is your store in Milano?,showroom
What's your favorite animal?,unsupported
Can you show me a bedroom layout?,search
È costoso quel disegno con island?,follow_up_cost
What's your favorite animal?,unsupported
Can you show me a garden layout?,search
Quali sono gli orari di apertura a Napoli?,showroom
Qual è il tuo sport preferito?,unsupported
Che tempo fa a Roma?,unsupported
Qual è il tuo sport preferito?,unsupported
Can you do math?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Cerco un disegno per una kitchen in stile vintage.,search
How much does the bathroom design cost?,follow_up_cost
Posso visitare lo showroom il sabato?,showroom
How much does the kitchen design cost?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Is the showroom in Milano open today?,showroom
Mostrami un progetto per una living room.,search
Mostrami un progetto per una kitchen.,search
Mostrami un progetto per una library.,search
Tell me something interesting.,unsupported
È costoso quel disegno con island?,follow_up_cost
Hai dei disegni per una kitchen?,search
Can you show me a library layout?,search
Quanto costa il progetto per la bedroom?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Hai dei disegni per una bedroom?,search
Dove si trova il vostro showroom a Napoli?,showroom
Mostrami un progetto per una garden.,search
Can you tell me the price of the modern layout?,follow_up_cost
Can you tell me the price of the vintage layout?,follow_up_cost
È costoso quel disegno con island?,follow_up_cost
Hai dei disegni per una library?,search
Can you tell me the price of the modern layout?,follow_up_cost
Quanto costa il progetto per la living room?,follow_up_cost
Dove si trova il vostro showroom a Cogorno?,showroom
Where is your store in Sestri Levante?,showroom
Posso visitare lo showroom il lunedì?,showroom
What's your favorite pizza topping?,unsupported
Posso visitare lo showroom il lunedì?,showroom
How much does the bathroom design cost?,follow_up_cost
Can you do math?,unsupported
Qual è il tuo sport preferito?,unsupported
Cerco un disegno per una bedroom in stile rustic.,search
Can you do math?,unsupported
Quali sono gli orari di apertura a Milano?,showroom
Can you tell me the price of the vintage layout?,follow_up_cost
Mostrami un progetto per una bathroom.,search
Raccontami una barzelletta.,unsupported
Posso visitare lo showroom il mercoledì?,showroom
Cerco un disegno per una bathroom in stile minimalist.,search
Quanto costa il progetto per la garden?,follow_up_cost
Posso visitare lo showroom il lunedì?,showroom
È costoso quel disegno con tiles?,follow_up_cost
Where is your store in Milano?,showroom
Posso visitare lo showroom il domenica?,showroom
How much does the garden design cost?,follow_up_cost
Raccontami una barzelletta.,unsupported
Mostrami un progetto per una living room.,search
Do aliens exist?,unsupported
I'd like a Scandinavian living room design.,search
Can you show me a kitchen layout?,search
Cerco un disegno per una garden in stile modern.,search
Where is your store in Napoli?,showroom
Qual è il tuo sport preferito?,unsupported
Where is your store in Sestri Levante?,showroom
Cerco un disegno per una kitchen in stile modern.,search
Hai dei disegni per una bedroom?,search
Tell me something interesting.,unsupported
Is the showroom in Cogorno open today?,showroom
Quali sono gli orari di apertura a Milano?,showroom
Che tempo fa a Roma?,unsupported
Dove si trova il vostro showroom a Cogorno?,showroom
What's your favorite pizza topping?,unsupported
Mostrami un progetto per una bedroom.,search
Hai dei disegni per una bathroom?,search
Can you tell me the price of the minimalist layout?,follow_up_cost
Quanto costa il progetto per la garden?,follow_up_cost
Hai dei disegni per una bathroom?,search
Dove si trova il vostro showroom a Sestri Levante?,showroom
Raccontami una barzelletta.,unsupported
Hai dei disegni per una library?,search
What's your favorite animal?,unsupported
Is the showroom in Napoli open today?,showroom
Mi racconti una storia divertente?,unsupported
Can you show me a library layout?,search
Hai dei disegni per una living room?,search
Do aliens exist?,unsupported
How much does the garden design cost?,follow_up_cost
Quanto costa il progetto per la library?,follow_up_cost
Raccontami una barzelletta.,unsupported
How much does the bathroom design cost?,follow_up_cost
Is the showroom in Cogorno open today?,showroom
Quanto costa il progetto per la bathroom?,follow_up_cost
Mostrami un progetto per una living room.,search
Qual è il tuo sport preferito?,unsupported
Can you show me a library layout?,search
Do aliens exist?,unsupported
Sai cucinare?,unsupported
Mostrami un progetto per una kitchen.,search
È costoso quel disegno con mirror?,follow_up_cost
Mostrami un progetto per una bathroom.,search
Is the showroom in Cogorno open today?,showroom
Can you tell me the price of the rustic layout?,follow_up_cost
I'd like a minimalist living room design.,search
How much does the garden design cost?,follow_up_cost
What's your favorite pizza topping?,unsupported
Quanto costa il progetto per la living room?,follow_up_cost
Quali sono gli orari di apertura a Napoli?,showroom
Is the showroom in Sestri Levante open today?,showroom
Can you show me a library layout?,search
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Sai cucinare?,unsupported
Dove si trova il vostro showroom a Sestri Levante?,showroom
Tell me something interesting.,unsupported
Quanto costa il progetto per la bathroom?,follow_up_cost
Tell me something interesting.,unsupported
Can you show me a garden layout?,search
Is the showroom in Milano open today?,showroom
Cerco un disegno per una garden in stile classic.,search
Quanto costa il progetto per la garden?,follow_up_cost
Mostrami un progetto per una living room.,search
Quanto costa il progetto per la garden?,follow_up_cost
What's your favorite animal?,unsupported
Cerco un disegno per una bedroom in stile vintage.,search
Where is your store in Napoli?,showroom
Mostrami un progetto per una garden.,search
Dove si trova il vostro showroom a Milano?,showroom
Can you do math?,unsupported
Quali sono gli orari di apertura a Roma?,showroom
Qual è il tuo sport preferito?,unsupported
Quali sono gli orari di apertura a Milano?,showroom
Mostrami un progetto per una kitchen.,search
Can you tell me the price of the minimalist layout?,follow_up_cost
Sai cucinare?,unsupported
Quanto costa il progetto per la library?,follow_up_cost
What's your favorite pizza topping?,unsupported
Hai dei disegni per una living room?,search
I'd like a classic bedroom design.,search
Quali sono gli orari di apertura a Milano?,showroom
How much does the bathroom design cost?,follow_up_cost
Hai dei disegni per una living room?,search
Qual è il tuo sport preferito?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Can you show me a garden layout?,search
Raccontami una barzelletta.,unsupported
Mostrami un progetto per una living room.,search
Quali sono gli orari di apertura a Sestri Levante?,showroom
I'd like a modern kitchen design.,search
Quali sono gli orari di apertura a Milano?,showroom
I'd like a classic bathroom design.,search
I'd like a Scandinavian library design.,search
How much does the bathroom design cost?,follow_up_cost
What's your favorite pizza topping?,unsupported
I'd like a vintage garden design.,search
I'd like a classic living room design.,search
Dove si trova il vostro showroom a Roma?,showroom
Sai cucinare?,unsupported
Qual è il tuo sport preferito?,unsupported
È costoso quel disegno con bathtub?,follow_up_cost
Sai cucinare?,unsupported
Che tempo fa a Roma?,unsupported
Can you do math?,unsupported
Can you show me a living room layout?,search
How much does the bathroom design cost?,follow_up_cost
Mi racconti una storia divertente?,unsupported
Can you do math?,unsupported
Can you show me a garden layout?,search
Can you tell me the price of the classic layout?,follow_up_cost
Cerco un disegno per una bedroom in stile classic.,search
Can you tell me the price of the minimalist layout?,follow_up_cost
Can you tell me the price of the minimalist layout?,follow_up_cost
How much does the living room design cost?,follow_up_cost
È costoso quel disegno con tiles?,follow_up_cost
Quali sono gli orari di apertura a Cogorno?,showroom
Cerco un disegno per una living room in stile minimalist.,search
What's your favorite pizza topping?,unsupported
Hai dei disegni per una living room?,search
Can you show me a bedroom layout?,search
Quali sono gli orari di apertura a Cogorno?,showroom
How much does the living room design cost?,follow_up_cost
Posso visitare lo showroom il sabato?,showroom
I'd like a rustic garden design.,search
Cerco un disegno per una kitchen in stile classic.,search
Is the showroom in Milano open today?,showroom
I'd like a rustic living room design.,search
Dove si trova il vostro showroom a Milano?,showroom
Quanto costa il progetto per la kitchen?,follow_up_cost
Can you tell me the price of the modern layout?,follow_up_cost
Tell me something interesting.,unsupported
Is the showroom in Cogorno open today?,showroom
Raccontami una barzelletta.,unsupported
I'd like a classic bathroom design.,search
Dove si trova il vostro showroom a Milano?,showroom
How much does the bedroom design cost?,follow_up_cost
Mi racconti una storia divertente?,unsupported
Where is your store in Cogorno?,showroom
Do aliens exist?,unsupported
Dove si trova il vostro showroom a Milano?,showroom
Qual è il tuo sport preferito?,unsupported
Cerco un disegno per una kitchen in stile minimalist.,search
Mostrami un progetto per una garden.,search
Quali sono gli orari di apertura a Napoli?,showroom
What's your favorite animal?,unsupported
Do aliens exist?,unsupported
Quanto costa il progetto per la kitchen?,follow_up_cost
Can you do math?,unsupported
Where is your store in Roma?,showroom
Quali sono gli orari di apertura a Sestri Levante?,showroom
Tell me something interesting.,unsupported
Mostrami un progetto per una bathroom.,search
Can you show me a bathroom layout?,search
Is the showroom in Sestri Levante open today?,showroom
Raccontami una barzelletta.,unsupported
Sai cucinare?,unsupported
Sai cucinare?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Sai cucinare?,unsupported
Sai cucinare?,unsupported
Can you tell me the price of the classic layout?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Dove si trova il vostro showroom a Cogorno?,showroom
Quanto costa il progetto per la kitchen?,follow_up_cost
Can you show me a living room layout?,search
How much does the garden design cost?,follow_up_cost
Che tempo fa a Roma?,unsupported
Cerco un disegno per una garden in stile classic.,search
Sai cucinare?,unsupported
Qual è il tuo sport preferito?,unsupported
Dove si trova il vostro showroom a Milano?,showroom
Hai dei disegni per una living room?,search
Can you show me a garden layout?,search
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Can you do math?,unsupported
What's your favorite animal?,unsupported
Can you show me a library layout?,search
Where is your store in Sestri Levante?,showroom
Dove si trova il vostro showroom a Milano?,showroom
Mostrami un progetto per una garden.,search
Dove si trova il vostro showroom a Cogorno?,showroom
How much does the kitchen design cost?,follow_up_cost
I'd like a Scandinavian kitchen design.,search
Posso visitare lo showroom il venerdì?,showroom
Can you tell me the price of the vintage layout?,follow_up_cost
What's your favorite pizza topping?,unsupported
Hai dei disegni per una bathroom?,search
Dove si trova il vostro showroom a Cogorno?,showroom
Is the showroom in Napoli open today?,showroom
Cerco un disegno per una bedroom in stile modern.,search
What's your favorite pizza topping?,unsupported
Is the showroom in Roma open today?,showroom
Quanto costa il progetto per la kitchen?,follow_up_cost
Do aliens exist?,unsupported
How much does the bedroom design cost?,follow_up_cost
Mostrami un progetto per una kitchen.,search
Dove si trova il vostro showroom a Cogorno?,showroom
Dove si trova il vostro showroom a Sestri Levante?,showroom
Do aliens exist?,unsupported
Raccontami una barzelletta.,unsupported
È costoso quel disegno con open shelves?,follow_up_cost
Where is your store in Roma?,showroom
Quanto costa il progetto per la garden?,follow_up_cost
Raccontami una barzelletta.,unsupported
Can you do math?,unsupported
Do aliens exist?,unsupported
Quanto costa il progetto per la kitchen?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
È costoso quel disegno con tiles?,follow_up_cost
Mi racconti una storia divertente?,unsupported
Can you do math?,unsupported
È costoso quel disegno con mirror?,follow_up_cost
È costoso quel disegno con island?,follow_up_cost
Can you show me a bedroom layout?,search
È costoso quel disegno con mirror?,follow_up_cost
Quanto costa il progetto per la library?,follow_up_cost
Dove si trova il vostro showroom a Napoli?,showroom
Do aliens exist?,unsupported
Do aliens exist?,unsupported
Hai dei disegni per una kitchen?,search
Is the showroom in Cogorno open today?,showroom
È costoso quel disegno con open shelves?,follow_up_cost
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Tell me something interesting.,unsupported
How much does the garden design cost?,follow_up_cost
Where is your store in Sestri Levante?,showroom
I'd like a Scandinavian kitchen design.,search
Where is your store in Milano?,showroom
Where is your store in Sestri Levante?,showroom
Where is your store in Cogorno?,showroom
Dove si trova il vostro showroom a Sestri Levante?,showroom
Can you show me a living room layout?,search
Can you do math?,unsupported
How much does the library design cost?,follow_up_cost
Can you do math?,unsupported
What's your favorite pizza topping?,unsupported
Where is your store in Milano?,showroom
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Sai cucinare?,unsupported
Where is your store in Napoli?,showroom
Do aliens exist?,unsupported
È costoso quel disegno con tiles?,follow_up_cost
Cerco un disegno per una bedroom in stile modern.,search
Can you show me a bedroom layout?,search
Do aliens exist?,unsupported
